Generation,Avg_Internal_Score_Per_Match,Avg_External_Score_Per_Match
0,39.14,64.83
1,56.22,66.82
2,76.06,73.34
3,67.83,100.48
4,76.30,103.53
5,90.32,112.46
6,77.81,117.15
7,76.29,107.25
8,66.10,92.74
9,85.69,119.14
10,65.78,95.10
11,73.45,106.42
12,74.11,95.09
13,72.45,100.48
14,73.47,98.98
15,69.32,108.54
16,83.31,124.39
17,65.37,95.08
18,76.38,113.38
19,64.24,94.77
20,78.95,115.79
21,65.30,90.21
22,82.45,110.12
23,99.36,139.07
24,87.38,116.69
25,77.39,109.49
26,85.00,141.23
27,87.80,133.22
28,90.71,131.37
29,77.15,110.08
30,88.22,120.05
31,80.65,117.35
32,76.57,102.88
33,70.83,120.70
34,91.62,130.33
35,84.64,120.19
36,68.24,98.20
37,85.91,118.56
38,88.46,120.58
39,79.39,106.96
40,74.49,104.52
41,87.40,120.08
42,82.75,122.08
43,95.26,138.44
44,70.68,114.24
45,81.73,133.75
46,88.11,119.30
47,66.24,116.63
48,81.18,118.54
49,88.18,122.89
50,76.07,114.83
51,83.39,127.59
52,80.24,110.57
53,91.42,122.05
54,81.76,103.27
55,80.65,117.53
56,76.07,122.62
57,85.79,130.23
58,83.40,118.68
59,89.78,133.78
60,74.48,96.32
61,69.77,103.56
62,81.31,127.69
63,87.67,134.73
64,75.80,122.76
65,83.03,113.04
66,84.67,115.71
67,101.11,129.78
68,95.87,137.79
69,87.75,134.76
70,81.00,140.07
71,99.92,156.65
72,87.45,128.19
73,68.99,96.86
74,88.35,137.63
75,83.77,127.68
76,79.64,118.65
77,88.43,138.97
78,91.52,148.16
79,85.22,128.82
80,71.05,109.31
81,83.78,126.07
82,71.68,115.51
83,66.44,103.33
84,88.65,142.63
85,85.17,131.58
86,79.04,125.22
87,84.78,132.61
88,71.24,127.08
89,84.13,133.07
90,69.92,124.24
91,67.81,119.75
92,81.84,128.01
93,85.65,132.34
94,76.56,131.47
95,72.32,127.24
96,73.33,114.55
97,80.07,127.67
98,64.21,124.38
99,87.12,159.54
100,68.22,94.73
101,74.41,130.79
102,73.96,121.05
103,81.05,145.67
104,83.29,140.30
105,77.19,126.75
106,61.95,111.20
107,61.72,110.35
108,75.31,120.38
109,70.64,135.92
110,73.59,120.90
111,73.49,137.32
112,78.84,127.82
113,74.80,130.82
114,85.68,156.18
115,68.06,140.13
116,64.80,148.83
117,73.91,133.71
118,83.11,131.44
119,66.88,133.63
120,67.73,142.85
121,75.76,127.41
122,68.49,152.11
123,73.14,134.37
124,81.24,151.43
125,63.57,139.08
126,67.17,134.67
127,76.51,133.98
128,72.20,125.84
129,72.43,138.09
130,74.63,146.78
131,76.61,153.33
132,73.02,131.26
133,84.33,140.19
134,80.04,150.57
135,76.79,155.42
136,74.69,156.99
137,77.56,146.16
138,72.28,136.14
139,74.04,148.37
140,69.56,139.41
141,73.32,153.94
142,77.51,152.30
143,67.77,150.74
144,70.78,151.82
145,70.56,149.85
146,72.19,181.74
147,83.34,147.75
148,73.31,167.74
149,82.38,179.59
150,74.70,193.46
151,86.85,140.28
152,75.55,151.83
153,72.50,156.28
154,72.65,162.80
155,79.07,163.35
156,82.92,157.28
157,80.89,155.99
158,71.20,135.95
159,72.26,178.09
160,67.86,182.91
161,67.85,151.87
162,75.47,161.29
163,73.27,135.85
164,74.85,158.54
165,80.11,158.59
166,69.46,135.21
167,76.60,152.15
168,69.13,156.08
169,70.50,155.67
170,70.42,157.93
171,85.12,159.02
172,66.96,160.07
173,74.13,137.04
174,78.65,179.81
175,98.57,192.40
176,73.59,166.89
177,65.37,145.62
178,70.59,141.61
179,61.51,148.76
180,81.86,153.02
181,69.50,132.60
182,75.68,150.64
183,69.90,143.06
184,70.06,142.09
185,66.55,135.89
186,74.78,149.59
187,72.78,146.90
188,77.02,174.18
189,78.96,182.28
190,73.27,155.87
191,69.32,163.36
192,67.49,148.21
193,71.76,148.20
194,83.34,164.42
195,76.83,167.05
196,74.13,135.85
197,73.19,157.53
198,71.89,151.95
199,59.90,137.74
200,67.01,142.59
201,85.23,166.08
202,70.57,151.74
